Date,Open,High,Low,Close,Volume,Change
2024-03-20,240000,246000,237500,241000,1230314,-0.030181086519114664
2024-03-21,247000,254000,246000,252000,1578378,0.001988071570576455
2024-03-22,252500,254000,241000,243500,1091572,0.0
2024-03-25,244000,245500,239500,239500,784822,-0.012371134020618513
2024-03-26,239000,244000,238500,240500,802094,0.012631578947368327
2024-03-27,241000,247500,240500,244000,818180,0.012448132780082943
2024-03-28,246000,246000,236000,237000,1050347,-0.059523809523809534
2024-03-29,238000,239000,232000,233000,852346,-0.043121149897330624
2024-04-01,234500,235000,227000,227500,898781,-0.050104384133611735
2024-04-02,225000,226500,216500,220000,1802613,-0.08523908523908519
2024-04-03,219000,223500,214500,216000,1138600,-0.11475409836065575
2024-04-04,218500,228500,216500,226000,1357330,-0.04641350210970463
2024-04-05,223500,230000,223000,225500,1121453,-0.03218884120171672
2024-04-08,227000,238000,226000,232500,1245057,0.0219780219780219
2024-04-09,234500,236500,228000,228000,663665,0.036363636363636376
2024-04-11,222000,241000,220000,241000,1853791,0.1157407407407407
2024-04-12,241000,241500,237000,238000,997710,0.053097345132743445
2024-04-15,236000,243000,233500,241500,1018783,0.07095343680709543
2024-04-16,239000,244500,236500,242000,1201766,0.04086021505376336
2024-04-17,242000,243000,233500,233500,1029202,0.02412280701754388
2024-04-18,237000,239000,228500,231000,1168222,-0.04149377593360992
2024-04-19,231000,237000,229000,235000,1174278,-0.012605042016806678
2024-04-22,240000,246000,239500,245000,1314974,0.01449275362318847
2024-04-23,250000,251500,246000,249500,1153091,0.030991735537190035
2024-04-24,249000,253500,247500,252500,1242059,0.0813704496788008
2024-04-25,251000,254000,246000,250000,1297404,0.08225108225108224
2024-04-26,250000,253500,243000,249500,980459,0.06170212765957439
2024-04-29,249000,254500,245500,251500,852780,0.026530612244898055
2024-04-30,250000,253000,248000,251000,545747,0.006012024048096087
2024-05-02,249000,251500,246500,249000,602350,-0.013861386138613874
2024-05-03,250000,250500,241000,241000,727057,-0.03600000000000003
2024-05-07,242500,246000,240000,242000,799659,-0.030060120240480992
2024-05-08,240500,244000,240000,242000,444082,-0.03777335984095431
2024-05-09,242000,242500,235000,237000,704379,-0.055776892430278835
2024-05-10,239000,243000,237000,241500,455541,-0.030120481927710885
2024-05-13,242500,247500,242000,245000,550255,0.016597510373443924
2024-05-14,245500,247000,243000,246500,670650,0.018595041322314154
2024-05-16,248000,248500,245500,247000,559548,0.02066115702479343
2024-05-17,247000,249500,244000,244000,408947,0.029535864978903037
2024-05-20,245500,255000,244500,250500,860566,0.037267080745341685
2024-05-21,249000,254000,248000,253000,576613,0.03265306122448974
2024-05-22,253000,277500,251000,277000,3336634,0.12373225152129819
2024-05-23,273500,275000,267500,271500,1886248,0.09919028340080982
2024-05-24,268500,274500,266000,267500,1059149,0.09631147540983598
2024-05-27,267500,271500,262000,265500,1011436,0.05988023952095811
2024-05-28,265000,270000,263500,265000,598743,0.04743083003952564
2024-05-29,262500,265000,257000,261000,965532,-0.0577617328519856
2024-05-30,260500,264000,255500,257000,640526,-0.05340699815837935
2024-05-31,259500,260000,253000,253000,1014549,-0.0542056074766355
2024-06-03,257500,270000,257000,265000,1186533,-0.0018832391713747842
2024-06-04,262500,265500,258000,259000,660409,-0.02264150943396226
2024-06-05,261000,267500,256500,264000,882084,0.011494252873563315
2024-06-07,262500,266500,261500,265000,519878,0.03112840466926059
2024-06-10,261500,271500,261000,267500,945927,0.05731225296442677
2024-06-11,270500,273500,267500,271000,967240,0.02264150943396226
2024-06-12,273000,273000,268000,270000,567334,0.042471042471042386
2024-06-13,273000,281000,269000,269000,1862106,0.018939393939394034
2024-06-14,268500,274000,267000,268000,778015,0.01132075471698113
2024-06-17,276000,285000,275500,278500,1945849,0.04112149532710285
2024-06-18,280500,290000,278500,283000,1667920,0.04428044280442811
2024-06-19,286500,292500,284000,286500,1228960,0.061111111111111116
2024-06-20,285500,288000,282500,285500,629996,0.0613382899628252
2024-06-21,283500,285000,279000,280000,876560,0.04477611940298498
2024-06-24,277000,283000,275500,281000,598019,0.008976660682226134
2024-06-25,281000,292500,280000,288500,1023261,0.019434628975264934
2024-06-26,289000,293500,286500,289500,694207,0.010471204188481575
2024-06-27,287000,298500,286500,298000,1157313,0.04378283712784592
2024-06-28,299500,299500,293000,295000,761453,0.0535714285714286
2024-07-01,292000,296000,285500,286000,864443,0.017793594306049876
2024-07-02,283000,283500,271000,272500,1558999,-0.0554592720970537
2024-07-03,275000,281500,272500,276000,1072157,-0.04663212435233166
2024-07-04,277500,281000,274500,277500,552767,-0.06879194630872487
2024-07-05,277500,282000,277000,281000,586121,-0.0474576271186441
2024-07-08,282000,289500,281000,283000,603805,-0.010489510489510523
2024-07-09,284000,285500,272500,274500,1135540,0.007339449541284404
2024-07-10,275000,277500,272500,274500,672155,-0.005434782608695676
2024-07-11,277000,278500,274500,278500,653458,0.003603603603603567
2024-07-12,277500,278500,268000,271500,666813,-0.03380782918149461
2024-07-15,273000,273500,267500,268500,541442,-0.051236749116607805
2024-07-16,270500,276000,270000,274500,552065,0.0
2024-07-17,275500,275500,268000,268500,512968,-0.021857923497267784
2024-07-18,267000,267500,256500,260500,1083373,-0.06463195691202872
2024-07-19,258500,259500,254000,258500,737904,-0.047882136279926324
2024-07-22,259000,261500,251000,255000,769457,-0.05027932960893855
2024-07-23,258000,264500,257500,263500,803042,-0.04007285974499086
