date,title,user,views,recommends,unrecommends
2024-08-30 14:38,신한 뚝배기 깨는거 실패,"
				we******
			",76,4,1
2024-08-30 14:37,신한 이것은  니뽄 자본이 분명,"
				hoho****
			",64,2,0
2024-08-30 14:37,매도,"
				taek****
			",64,1,0
2024-08-30 14:33,신한 ㄷㄷㄷ,"
				ju******
			",60,1,1
2024-08-30 14:30,시원하게 좀 올려봐라~,"
				j714****
			",39,0,0
2024-08-30 13:54,반도체가 죽어야 현대차가 산다~,"
				viva****
			",128,2,3
2024-08-30 13:45,왜이리..툭툭 던지지 끝없이 던지네,"
				dado****
			",142,1,1
2024-08-30 13:35,오늘도 종가 마이너스,"
				kims****
			",333,11,2
2024-08-30 13:45,오늘도 종가 마이너스,"
				kwon****
			",55,2,1
2024-08-30 13:30,신한 대다나다..,"
				ju******
			",187,7,2
2024-08-30 13:21,신한이,"
				jjs5****
			",141,5,1
2024-08-30 13:13,당장은 재료보다는 수급이네요.,"
				bigl****
			",124,2,1
2024-08-30 13:10,한방에 5% 올렸으니 당분간,"
				ctac****
			",156,1,1
2024-08-30 13:03,"1,500원만 더 빼주세요~~~^^","
				moby****
			",193,3,4
2024-08-30 13:02,전강후약,"
				taek****
			",96,3,1
2024-08-30 12:55,오늘 반등없음,"
				ctac****
			",98,1,2
2024-08-30 12:55,음봉탕 나오겠다..ㅎ~,"
				in******
			",79,2,1
2024-08-30 12:47,신한뚝배기 깨는것은 실패,"
				we******
			",82,1,0
2024-08-30 12:47,9월말 75만원 나만 보이냐?,"
				sayd****
			",142,3,2
2024-08-30 12:47,25에 살 수 있겠네,"
				ctac****
			",79,1,1
2024-08-30 12:42,외국인의 수급이 쥑이네~신한 까이꺼 무시하셔요,"
				ardo****
			",108,3,2
2024-08-30 12:39,신한 잡것들아 내가졌다,"
				ener****
			",87,3,2
2024-08-30 12:32,기아 오르라고 기도해라,"
				ctac****
			",83,3,2
2024-08-30 12:31,단타개미들 아직도 바글바글하누,"
				rkff****
			",76,2,2
2024-08-30 12:30,매집,"
				mhc9****
			",87,1,2
2024-08-30 12:26,오늘 100주,"
				moby****
			",115,1,2
2024-08-30 12:26,오늘 딸다리만 연신 치넹,"
				kaja****
			",73,2,1
2024-08-30 12:16,월요일도 누를태세 같아요,"
				togg****
			",81,2,1
2024-08-30 12:11,어떤 양 아 치가 매일 누르는거야??,"
				new-****
			",148,2,2
2024-08-30 11:59,기아차 주가 잘나가노,"
				koko****
			",179,2,2
2024-08-30 11:57,이런 개잡주에 투자하지 말라니까,"
				koko****
			",63,0,3
2024-08-30 11:54,"거래량도 너무 적음 하이닉스 10분1,,,,","
				dado****
			",81,1,2
2024-08-30 11:51,악재 하나만 터지면 게폭? 한다,"
				dado****
			",101,2,2
2024-08-30 11:49,급등 못하게 철저히 막고잇음 2%만 올라가도 바로,"
				dado****
			",150,2,1
2024-08-30 11:47,추석전이다.,"
				puon****
			",92,1,2
2024-08-30 11:41,왜 갸만 오르는겨?,"
				carr****
			",103,1,0
2024-08-30 12:08,왜 갸만 오르는겨?,"
				iglo****
			",17,1,0
2024-08-30 11:39,외인들만 담네,"
				ycha****
			",86,2,1
2024-08-30 11:39,오후되기전에 매도하세요~,"
				gimj****
			",68,0,1
2024-08-30 11:39,중국에서 매출 오른다고 중국에 속은 전세계.,"
				cold****
			",64,1,1
2024-08-30 11:37,어깨 인가보네,"
				unja****
			",68,2,1
2024-08-30 11:14,금일 기아와 현대차의 차이,"
				oc******
			",286,11,1
2024-08-30 10:51,담 넘어간 살구 나무,"
				kd******
			",316,7,0
2024-08-30 11:10,담 넘어간 살구 나무,"
				kwon****
			",36,2,0
2024-08-30 10:49,어제는 우선주 상승,"
				jjs5****
			",249,1,0
2024-08-30 10:26,외국인들이 지속 매입하는이유,"
				uihy****
			",369,10,1
2024-08-30 10:22,외인들 현차 지분계속 매집중.,"
				sang****
			",198,2,1
2024-08-30 10:22,오후 구름떼 돌파 가자,"
				leeb****
			",247,7,1
